UserID,Timestamp,EventType,DocumentName,DocumentType,Source,Keywords,People,Sender,Receiver,StartTime,EndTime,Origin,Destination,ReasoningText,ReasoningSelect,InnocentOrGuilty,Suspect
1805570777,1599765778997.0,search,,Any,Any,,,,,1588568400,1588971600,Any,Any,I want to see all of the documents. Maybe I can look through them manually. ,Just exploring the data,N/A,N/A
1805570777,1599765799656.0,read,police_report.pdf,Information,Web,crime report police roadeez summary insider attack michelle ivan daryl xin anna,Michelle Daryl Xin Ivan Anna,,,1588564800,,,,N/A,N/A,N/A,N/A
1805570777,1599765823694.0,save,police_report.pdf,Any,Any,,,,,,,,,Contains information on the crime. ,I'm saving this search to come back to later.,N/A,N/A
1805570777,1599765830887.9998,read,police_report.pdf,Information,Web,crime report police roadeez summary insider attack michelle ivan daryl xin anna,Michelle Daryl Xin Ivan Anna,,,1588564800,,,,N/A,N/A,N/A,N/A
1805570777,1599765877472.0,search,,Any,Any,roadnav.exe,,,,1588568400,1588971600,Any,Any,"Roadnav.exe was stolen, so let's see who was using it. ",Just exploring the data,N/A,N/A
1805570777,1599765880849.0,read,daryl_interview.pdf,Information,Web,daryl interview RoadNav.exe Road Nav police lead developer software server police Roadeez updates,Daryl,,,1588564800,,,,N/A,N/A,N/A,N/A
-2110079241,1599765881580.9998,search,,Any,Any,roadnav.exe,,,,1588568400,1588971600,Any,Any,Check information about roadnav.exe,Just exploring the data,N/A,N/A
-2110079241,1599765888790.0,read,daryl_interview.pdf,Information,Web,daryl interview RoadNav.exe Road Nav police lead developer software server police Roadeez updates,Daryl,,,1588564800,,,,N/A,N/A,N/A,N/A
1805570777,1599765919184.0002,save,daryl_interview.pdf,Any,Any,,,,,,,,,Daryl and Xin can update the software. Daryl suspects Xin. ,I'm saving this search to come back to later.,N/A,N/A
1805570777,1599765927699.0,read,xin_interview.pdf,Information,Web,xin interview RoadNav.exe Road Nav police developer intern software server Roadeez intern software,Xin,,,1588564800,,,,N/A,N/A,N/A,N/A
-2110079241,1599765940743.0,save,daryl_interview.pdf,Any,Any,,,,,,,,,Daryl suspect Xin,I'm saving this search to come back to later.,N/A,N/A
1805570777,1599765944201.0,read,server_log_0004.log,Network Log,From Roadeez Software Server,downloaded RoadNav.exe michelle road nav exe,Michelle,,,1588610520,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': 'Roadeez Software Server'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': 'Michelle’s Computer'}",N/A,N/A,N/A,N/A
-2110079241,1599765958726.0,read,server_log_0003.log,Network Log,From Roadeez Software Server,downloaded RoadNav.exe road nav xin exe,Xin,,,1588593600,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': 'Roadeez Software Server'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': ""Xin's Computer""}",N/A,N/A,N/A,N/A
-2110079241,1599765961853.0,read,server_log_0003.log,Network Log,From Roadeez Software Server,downloaded RoadNav.exe road nav xin exe,Xin,,,1588593600,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': 'Roadeez Software Server'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': ""Xin's Computer""}",N/A,N/A,N/A,N/A
1805570777,1599765968857.0,save,server_log_0004.log,Any,Any,,,,,,,,,"Michelle downloaded RoadNav.exe, is this normal? ",I'm saving this search to come back to later.,N/A,N/A
-2110079241,1599765977658.0,save,server_log_0003.log,Any,Any,,,,,,,,,Xin downloaded on May4th,I'm saving this search to come back to later.,N/A,N/A
-2110079241,1599765992585.0,read,server_log_0015.log,Network Log,From Roadeez Software Server,uploaded RoadNav.exe road nav roadnav.exe exe daryl,Daryl,,,1588811160,,"{'lat': 37.78401, 'lon': -122.400711, 'city': 'San Francisco', 'Country': 'USA', 'server': ""Daryl's Laptop""}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': 'Roadeez Software Server'}",N/A,N/A,N/A,N/A
-2110079241,1599766007895.0,read,server_log_0010.log,Network Log,From Roadeez Software Server,downloaded RoadNav.exe road nav exe,Daryl,,,1588676400,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': 'Roadeez Software Server'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': ""Daryl's Computer""}",N/A,N/A,N/A,N/A
1805570777,1599766015332.0,search,,Information,Any,Michelle,,,,1588568400,1588971600,Any,Any,I want Michelle's police interview. Does she often download the software? ,Looking for a specific document or specific information,N/A,N/A
311605230,1599766017778.0,read,calendar_67600,Calendar Entry,Anna's Computer,Michelle out sick,Michelle,,,1588680000,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
1805570777,1599766018962.9998,read,michelle_interview.pdf,Information,Web,michelle interview ceo venture capital police master e-mail server,Michelle,,,1588564800,,,,N/A,N/A,N/A,N/A
311605230,1599766030550.0,read,calendar_67601,Calendar Entry,Anna's Computer,Daryl trade show RoadBlock Road Bloc attending San Francisco Tuesday Thursday,Daryl,,,1588680000,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 37.78401, 'lon': -122.400711, 'city': 'San Francisco', 'Country': 'USA'}",N/A,N/A,N/A,N/A
-2110079241,1599766033081.0,read,server_log_0005.log,Network Log,From Roadeez Software Server,uploaded RoadNav.exe road nav exe xin,Xin,,,1588626000,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': ""Xin's Computer""}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': 'Roadeez Software Server'}",N/A,N/A,N/A,N/A
311605230,1599766041944.0,read,calendar_67602,Calendar Entry,Anna's Computer,Xin trade show RoadBlock Road Bloc attending San Francisco Tuesday Thursday,Xin,,,1588680000,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 37.78401, 'lon': -122.400711, 'city': 'San Francisco', 'Country': 'USA'}",N/A,N/A,N/A,N/A
-2110079241,1599766043479.0,read,server_log_0005.log,Network Log,From Roadeez Software Server,uploaded RoadNav.exe road nav exe xin,Xin,,,1588626000,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': ""Xin's Computer""}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': 'Roadeez Software Server'}",N/A,N/A,N/A,N/A
311605230,1599766045584.0,read,calendar_89006,Calendar Entry,Anna's Computer,Daryl california pizza Karikampani launch product party,Daryl,,,1588813200,,"{'lat': 37.7863215, 'lon': -122.402286, 'city': 'San Francisco', 'Country': 'USA'}","{'lat': 37.7863215, 'lon': -122.402286, 'city': 'San Francisco', 'Country': 'USA'}",N/A,N/A,N/A,N/A
-2110079241,1599766058620.9998,save,server_log_0005.log,Any,Any,,,,,,,,,Xin uploaded the software too,Rejects my hypothesis,N/A,N/A
-2110079241,1599766062408.0,read,xin_interview.pdf,Information,Web,xin interview RoadNav.exe Road Nav police developer intern software server Roadeez intern software,Xin,,,1588564800,,,,N/A,N/A,N/A,N/A
1805570777,1599766063404.0,save,michelle_interview.pdf,Any,Any,,,,,,,,,Michelle doesn't really have a reason to download the software. Definitely suspicious. ,Confirms my hypothesis,N/A,N/A
311605230,1599766063829.0,read,calendar_88000,Calendar Entry,Anna's Computer,Daryl Xin standup scrum software meeting,Daryl Xin,,,1588597200,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
1805570777,1599766067511.0002,assign,michelle_interview.pdf,Any,Any,,,,,,,,,Michelle doesn't really have a reason to download the software. Definitely suspicious. ,Confirms my hypothesis,Guilty,Michelle
1805570777,1599766069315.9998,assign,michelle_interview.pdf,Any,Any,,,,,,,,,Michelle doesn't really have a reason to download the software. Definitely suspicious. ,Confirms my hypothesis,Guilty,Michelle
1805570777,1599766073039.0,assign,server_log_0004.log,Any,Any,,,,,,,,,"Michelle downloaded RoadNav.exe, is this normal? ",I'm saving this search to come back to later.,Guilty,Michelle
311605230,1599766087300.0,read,email_039,Email,Ivan's Computer,prince nigeria bank recently deposed desparately help moving riches international bank rewarded assistance ivan,Ivan,Bakare,Ivan,1588944720,,"{'lat': 9.051477, 'lon': 7.897507, 'city': 'Gitata', 'Country': 'Nigeria'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
311605230,1599766092463.0,read,email_040,Email,Xin's Computer,download demo Photostore pueblo free xin,Xin,PuebloSoft,Xin,1588954680,,"{'lat': 35.074334, 'lon': -106.643595, 'city': 'Albuquerque', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
-2110079241,1599766096150.0,save,xin_interview.pdf,Any,Any,,,,,,,,,Xin might fix bugs sometimes,I'm saving this search to come back to later.,N/A,N/A
311605230,1599766097202.0,read,email_041,Email,From Roadeez Email Server,Friday peace bliss love share missing week worthy momement sade everyone,Anna Ivan Daryl Xin Michelle,Anna,Ivan,1588971600,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
311605230,1599766103095.0,read,email_041,Email,From Roadeez Email Server,Friday peace bliss love share missing week worthy momement sade everyone,Anna Ivan Daryl Xin Michelle,Anna,Michelle,1588971600,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
311605230,1599766104490.0,read,email_041,Email,From Roadeez Email Server,Friday peace bliss love share missing week worthy momement sade everyone,Anna Ivan Daryl Xin Michelle,Anna,Daryl,1588971600,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
311605230,1599766108592.0,read,email_041,Email,From Roadeez Email Server,Friday peace bliss love share missing week worthy momement sade everyone,Anna Ivan Daryl Xin Michelle,Anna,Xin,1588971600,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
1805570777,1599766110327.0,discover,,Any,Any,Michelle,,,,,,Any,Any,What kind of person is Michelle. ,Just exploring the data,N/A,N/A
311605230,1599766113324.9998,read,email_041,Email,Anna's Computer,Friday peace bliss love share missing week worthy momement sade everyone,Anna Ivan Daryl Xin Michelle,Anna,Xin,1588971600,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
1805570777,1599766114742.0002,read,roadeez_info.html,Information,Web,roadeez Michelle Daryl CARGO Boston Tech Watch car self driving stanford venture capital karikampani tilapia san francisco,Michelle Anna Darly Xin Ivan,,,1588564800,,,,N/A,N/A,N/A,N/A
311605230,1599766117657.0,read,email_038,Email,Ivan's Computer,trade show debriefing meeting cool ideas software better everyone person,Daryl Ivan Michelle Xin Anna,Daryl,Ivan,1588896000,,"{'lat': 37.78401, 'lon': -122.400711, 'city': 'San Francisco', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
1805570777,1599766120247.0,read,michelle_info.html,Information,Web,michelle,Michelle,,,1588564800,,,,N/A,N/A,N/A,N/A
311605230,1599766130338.0,read,email_037,Email,Anna's Computer,phone number pics love you anna,Anna,Admirer,Anna,1588887120,,"{'lat': 42.328607, 'lon': -71.056116, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
311605230,1599766135620.0,read,email_031,Email,Xin's Computer,checking in sorry written while trade show wild san francisco beautiful there work xin zhao,Zhao Xin,Xin,Zhao,1588856700,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': -0.1757809742, 'lon': -160.224609375, 'city': 'Kari', 'Country': 'Tilapia'}",N/A,N/A,N/A,N/A
-2110079241,1599766156883.0,discover,,Any,Any,roadnav.exe,,,,,,Any,Any,search more information on roadnav.exe,Just exploring the data,N/A,N/A
311605230,1599766160417.0,read,email_026,Email,Anna's Computer,sick get well soon awful sounds michelle anna,Michelle Anna,Anna,Michelle,1588680300,,"{'lat': 42.377072, 'lon': -71.144473, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
311605230,1599766163306.0,read,email_026,Email,From Roadeez Email Server,sick get well soon awful sounds michelle anna,Michelle Anna,Anna,Michelle,1588680300,,"{'lat': 42.377072, 'lon': -71.144473, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
311605230,1599766166025.9998,read,email_026,Email,Anna's Computer,sick get well soon awful sounds michelle anna,Michelle Anna,Anna,Michelle,1588680300,,"{'lat': 42.377072, 'lon': -71.144473, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
311605230,1599766173550.0,read,email_026,Email,From Roadeez Email Server,sick get well soon awful sounds michelle anna,Michelle Anna,Anna,Michelle,1588680300,,"{'lat': 42.377072, 'lon': -71.144473, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
311605230,1599766175816.9998,read,email_025,Email,Anna's Computer,sick woke up bad cold into office feels bad doubt friday michelle anna,Michelle Anna,Michelle,Anna,1588680000,,"{'lat': 42.377072, 'lon': -71.144473, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
311605230,1599766180378.0,read,email_025,Email,From Roadeez Email Server,sick woke up bad cold into office feels bad doubt friday michelle anna,Michelle Anna,Michelle,Anna,1588680000,,"{'lat': 42.377072, 'lon': -71.144473, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
311605230,1599766183008.0,read,calendar_88001,Calendar Entry,Anna's Computer,Daryl Xin standup scrum software meeting,Daryl Xin,,,1588683600,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
1805570777,1599766191116.0,search,,Network Log,Any,Michelle,,,,1588568400,1588971600,Any,Any,Michelle downloaded the software at least once. Did she do that multiple times? ,Looking for a specific document or specific information,N/A,N/A
311605230,1599766192470.0,read,email_039,Email,Daryl's Computer,please is not virus daryl,Daryl,Sergei,Daryl,1588678680,,"{'lat': 59.993042, 'lon': 29.770728, 'city': 'St. Petersburg', 'Country': 'Russia'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
-2110079241,1599766192932.0,discover,,Any,Roadeez Software Server,roadnav.exe,,,,,,Any,Any,check on the software server what the software it is,Just exploring the data,N/A,N/A
1805570777,1599766221021.0,search,,Email,Any,Michelle,,,,1588568400,1588971600,Any,Any,Let's see who Michelle has been talking to. ,Looking for a specific document or specific information,N/A,N/A
-2110079241,1599766223896.9998,search,,Information,Any,,,,,1588568400,1588971600,Any,Any,check information avaliable,Just exploring the data,N/A,N/A
-2110079241,1599766227753.0,read,police_report.pdf,Information,Web,crime report police roadeez summary insider attack michelle ivan daryl xin anna,Michelle Daryl Xin Ivan Anna,,,1588564800,,,,N/A,N/A,N/A,N/A
1805570777,1599766228703.0,read,email_003,Email,Michelle's Computer,prince nigeria bank recently deposed desparately help moving riches international bank rewarded assistance michelle,Michelle,Bakare,Michelle,1588578360,,"{'lat': 9.051477, 'lon': 7.897507, 'city': 'Gitata', 'Country': 'Nigeria'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
311605230,1599766244974.0,read,email_014,Email,From Daryl's Computer,book flight confirmation calendar soon office daryl anna xin,Daryl Anna,Anna,Daryl,1588603500,,"{'lat': 42.377072, 'lon': -71.144473, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
1805570777,1599766245089.0,read,email_025,Email,From Roadeez Email Server,sick woke up bad cold into office feels bad doubt friday michelle anna,Michelle Anna,Michelle,Anna,1588680000,,"{'lat': 42.377072, 'lon': -71.144473, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
-2110079241,1599766246375.9998,read,michelle_interview.pdf,Information,Web,michelle interview ceo venture capital police master e-mail server,Michelle,,,1588564800,,,,N/A,N/A,N/A,N/A
311605230,1599766250000.0,read,calendar_88000,Calendar Entry,Anna's Computer,Daryl Xin standup scrum software meeting,Daryl Xin,,,1588597200,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
-2110079241,1599766274988.0,save,michelle_interview.pdf,Any,Any,,,,,,,,,the email server has a lot of emails ,I'm saving this search to come back to later.,N/A,N/A
1805570777,1599766280623.0,read,email_025,Email,From Roadeez Email Server,sick woke up bad cold into office feels bad doubt friday michelle anna,Michelle Anna,Michelle,Anna,1588680000,,"{'lat': 42.377072, 'lon': -71.144473, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
-2110079241,1599766298017.9998,discover,,Any,Roadeez Email Server,roadnav.exe,,,,,,Any,Any,check anything talked about the software,Just exploring the data,N/A,N/A
311605230,1599766308732.0,search,,Any,Any,stolen,,,,1588568400,1588971600,Any,Any,looking to see if anyone said anything about stolen stuff,Just exploring the data,N/A,N/A
1805570777,1599766309224.0,save,email_025,Any,Any,,,,,,,,,Michelle is out sick from Tuesday until Friday. ,I'm saving this search to come back to later.,N/A,N/A
-2110079241,1599766332487.0,discover,,Any,Roadeez Email Server,exe,,,,,,Any,Any,change another keyword to search software,Just exploring the data,N/A,N/A
1805570777,1599766335065.0,search,,Email,Any,,,,Michelle,1588568400,1588971600,Any,Any,Let's see what emails Michelle has received. ,Refining or repeating a previous query,N/A,N/A
311605230,1599766339146.0,search,,Any,Any,,xin,,,1588568400,1588971600,Any,Any,"maybe xin is suspicious
",Just exploring the data,N/A,N/A
311605230,1599766342293.0,read,xin_interview.pdf,Information,Web,xin interview RoadNav.exe Road Nav police developer intern software server Roadeez intern software,Xin,,,1588564800,,,,N/A,N/A,N/A,N/A
311605230,1599766355455.0,read,police_report.pdf,Information,Web,crime report police roadeez summary insider attack michelle ivan daryl xin anna,Michelle Daryl Xin Ivan Anna,,,1588564800,,,,N/A,N/A,N/A,N/A
1805570777,1599766389687.0,search,,Email,Any,,,Michelle,,1588568400,1588971600,Any,Any,What emails has Michelle sent. ,Refining or repeating a previous query,N/A,N/A
1805570777,1599766397843.0,read,email_005,Email,From Roadeez Email Server,quarterly report little under projectiosn confident catch up tighten belts make ends work everyone,Michelle Daryl Ivan Anna Xin,Michelle,Daryl,1588586400,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
-2110079241,1599766403808.0,discover,,Any,Roadeez Email Server,road,,,,,,Any,Any,use another keyword on searching the software,Just exploring the data,N/A,N/A
1805570777,1599766417269.0,assign,email_025,Any,Any,,,,,,,,,Michelle is out sick from Tuesday until Friday. ,I'm saving this search to come back to later.,N/A,None
-2110079241,1599766417280.0,read,email_006,Email,From Roadeez Email Server,job roadeez cargo rumors money venture capital afloat bankrupt jobs resume james michelle,Michelle James,Michelle,James,1588593600,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 37.775547, 'lon': -122.417721, 'city': 'San Francisco', 'Country': 'USA'}",N/A,N/A,N/A,N/A
1805570777,1599766420874.0,read,email_025,Email,Anna's Computer,sick woke up bad cold into office feels bad doubt friday michelle anna,Michelle Anna,Michelle,Anna,1588680000,,"{'lat': 42.377072, 'lon': -71.144473, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
311605230,1599766436148.9998,search,,Any,Any,roadnav.exe,xin,,,1588568400,1588971600,Any,Any,looking to see if xin downloaded the program at some suspicious time,Looking for a specific document or specific information,N/A,N/A
